Rank,Player,Team,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
133,"Davis, Knile",FA,RB,9.,11.9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,2.,14.,0.,0.1,0.,0.,226.3,0.,0.,2.6
134,"Atkinson, George",FA,RB,2.7,9.,0.3,0.3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,90.,0.,1.,2.5
135,"Marshall, Byron",FA,RB,5.2,21.9,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.5,2.1,0.,0.,0.,0.,18.7,0.,0.,2.4
136,"Todman, Jordan",HOU,RB,5.6,22.5,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.,0.,0.,0.,0.,66.6,365.4,0.,0.1,2.2
137,"Pumphrey, Donnel",PHI,RB,12.1,36.9,0.,0.,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,0.8,0.8,0.,0.,0.,-1.3,119.7,0.8,0.6,2.2
138,"Hill, Bronson",FA,RB,6.8,5.3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,2.6,14.4,0.,0.1,0.,0.,19.8,0.,2.2,2.
139,"Dayes, Matthew",CLE,RB,8.1,17.2,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,5.,28.4,0.,0.1,0.1,0.,191.7,1.3,4.7,1.9
140,"Hill, Brian",ATL,RB,0.7,0.3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.8,14.5,0.,0.1,0.,0.,5.7,0.,1.1,1.5
141,"Wilds, Brandon",FA,RB,3.4,8.9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.5,5.3,0.,0.,0.,0.,23.7,0.,0.9,1.4
142,"Mizzell, Taquan",CHI,RB,4.7,12.9,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.5,1.,0.,0.,0.,0.,216.9,0.,0.9,1.4
143,"Carson, Chris",SEA,RB,5.,12.2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.2,0.,0.,0.,0.,0.,0.,0.8,1.2
144,"Bolden, Brandon",NEP,RB,1.6,5.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.4,5.2,0.,0.,0.,0.,0.,0.,0.2,1.
145,"Line, Zach",FA,RB,4.8,7.8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.3,1.2,0.,0.,0.,0.,0.,0.,1.8,0.9
146,"Henderson, De'Angelo",DEN,RB,1.5,4.8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.4,3.8,0.,0.,0.,0.,0.7,0.,0.6,0.9
147,"Smith, Keith",DAL,RB,0.2,0.4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.1,6.8,0.,0.,0.,0.,0.,0.,0.,0.7
148,"Pope, Troymaine",FA,RB,4.7,6.6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.4,0.,0.,0.,0.,132.4,0.,0.,0.7
149,"Sherman, Anthony",KCC,RB,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,3.1,6.1,0.,0.,0.,0.,0.,0.,0.,0.6
150,"Winn, George",NYG,RB,3.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1
151,"Reynolds, Chase",FA,RB,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.2,0.8,0.,0.,0.,0.,4.9,0.,0.,0.1
152,"Penny, Elijhaa",ARZ,RB,2.1,0.5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,17.7,0.,0.5,0.1
153,"Foster, D.J.",FA,RB,0.1,0.3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,0.,0.,66.7,0.,0.,0.
154,"Hilliard, Kenny",HOU,RB,0.5,0.5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,135.7,119.3,0.,0.,0.
155,"Murphy, Marcus",FA,RB,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,6.4,46.9,0.,0.,0.
156,"Thomas, Jahad",FA,RB,2.6,-0.9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-0.1
157,"Mays, Devante",GBP,RB,4.4,-1.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-0.1
158,"McKissic, J.D.",SEA,RB,0.1,-0.4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.1,-0.2
159,"Taylor, Stepfan",FA,RB,2.1,-2.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-0.2
160,"Taliaferro, Lorenzo",FA,RB,3.2,13.2,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.9,3.3,0.,0.,0.,0.,0.,1.2,2.3,-0.7
161,"Burks, Brandon",FA,RB,4.4,-8.9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,4.4,-0.9
162,"Robinson, Khiry",FA,RB,8.6,23.6,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.7,0.,-1.
