Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
134,"Hali, Tamba",KCC,LB,21.4,10.9,2.1,1.,0.,0.,0.,0.,30.
135,"Jones, Christian",CHI,LB,22.5,7.1,0.7,2.5,0.,0.5,0.,0.,29.8
136,"Brothers, Kentrell",MIN,LB,20.1,12.3,0.5,0.7,0.3,0.,0.,0.2,28.1
137,"Weatherspoon, Sean",FA,LB,24.1,7.1,0.,0.1,0.,0.,0.,0.,27.7
138,"Vallejo, Tanner",BUF,LB,18.3,10.8,1.3,2.1,0.,0.4,0.,0.,27.5
139,"Brown, Jayon",TEN,LB,16.6,8.3,1.9,3.,0.4,0.4,0.4,0.,27.3
140,"Matakevich, Tyler",PIT,LB,14.7,11.1,1.3,3.,0.,0.9,0.8,0.,26.3
141,"Maualuga, Rey",MIA,LB,18.1,10.1,0.,1.1,0.5,0.,0.,0.,25.3
142,"Jones, Jarvis",FA,LB,16.,7.2,1.,1.7,0.4,0.8,0.3,0.,24.2
143,"Lynch, Cameron",TBB,LB,19.,8.3,0.4,0.4,0.,0.,0.,0.,24.
144,"Dzubnar, Nick",LAC,LB,17.5,9.,1.,0.5,0.,0.5,0.,0.,24.
145,"Wilhoite, Michael",SEA,LB,18.8,3.1,0.2,0.7,0.,0.9,0.9,0.,22.9
146,"Walker, Anthony",IND,LB,15.2,9.3,2.,0.9,0.,0.,0.,0.,22.8
147,"Ishmael, Kemal",ATL,LB,15.3,6.2,1.3,2.7,0.,0.,0.,0.,22.4
148,"Donahue, Dylan",NYJ,LB,15.2,7.6,1.3,1.,0.,0.5,0.4,0.,22.3
149,"Dodd, Kevin",TEN,LB,15.1,5.3,1.5,2.4,0.3,0.,0.,0.,22.2
150,"Morgan, Mike",FA,LB,14.3,10.3,0.6,0.7,0.5,0.2,0.,0.,22.1
151,"Ayers, Akeem",FA,LB,14.9,6.9,1.7,1.,0.2,0.,0.,0.,21.5
152,"Anderson, Ryan",WAS,LB,13.,11.1,2.2,0.2,0.,0.,0.,0.,21.
153,"Galette, Junior",WAS,LB,13.4,10.1,2.2,0.2,0.,0.,0.,0.,20.8
154,"Palmer, Nate",TEN,LB,14.8,4.8,1.4,2.,0.,0.,0.,0.,20.6
155,"Barwin, Connor",LAR,LB,12.,8.6,2.8,1.2,0.,0.,0.,0.,20.4
156,"Cunningham, Zach",HOU,LB,14.6,8.8,0.5,0.4,0.,0.,0.,0.,19.9
157,"Peters, Brian",HOU,LB,12.5,8.7,0.4,0.,0.,1.,0.9,0.,19.1
158,"Skuta, Dan",FA,LB,15.,6.8,0.,0.2,0.,0.,0.,0.,18.7
159,"Maggitt, Curt",FA,LB,11.4,8.4,1.5,0.7,0.,0.,0.,0.,17.7
160,"Anthony, Stephone",NOR,LB,13.5,4.8,0.,0.,0.,0.8,0.,0.,16.7
161,"Te'o, Manti",NOR,LB,12.,5.9,0.6,0.,0.,0.,0.,0.,15.5
162,"Walker, Joe",PHI,LB,11.3,5.9,0.7,0.4,0.,0.,0.,0.,15.4
163,"Watson, Dekoda",SFO,LB,9.6,5.5,0.6,0.,0.,0.3,0.3,0.,13.5
164,"Reddick, Haason",ARZ,LB,9.5,6.,0.7,0.,0.,0.1,0.,0.,13.4
165,"Skov, Shayne",FA,LB,10.,6.,0.,0.,0.,0.,0.,0.,13.
166,"Coyle, Brock",SFO,LB,9.3,6.1,0.3,0.,0.,0.,0.,0.,12.7
167,"Johnson, Steven",PIT,LB,6.6,6.3,0.2,1.3,0.,1.2,0.,0.,12.5
168,"Lattimore, Jamari",BUF,LB,7.,7.4,0.2,0.,0.,1.4,0.,0.,12.3
169,"Williams, Antwione",FA,LB,9.3,5.9,0.,0.,0.,0.,0.,0.,12.3
170,"Martin, Gabe",ARZ,LB,7.8,4.2,0.2,0.,0.,0.,0.,0.,10.1
171,"Stanford, Julian",NYJ,LB,7.1,4.6,0.,0.7,0.,0.,0.,0.,10.1
172,"Pierre-Louis, Kevin",KCC,LB,6.1,3.7,1.,0.8,0.,0.,0.,0.,9.7
173,"Pullard, Hayes",FA,LB,7.3,4.4,0.,0.,0.,0.,0.,0.,9.5
174,"Riley, Duke",ATL,LB,7.2,3.5,0.,0.5,0.,0.,0.,0.,9.4
175,"Jacobs, Ben",CAR,LB,5.,4.9,0.,0.,0.,0.,0.,0.,7.6
176,"Brown, Blair",JAC,LB,5.9,2.2,0.,0.5,0.,0.,0.,0.,7.4
177,"Calhoun, Shilique",FA,LB,6.,0.5,0.,0.9,0.,0.,0.,0.,7.1
178,"Bond, Devante",TBB,LB,4.8,1.,1.1,0.3,0.,0.3,0.,0.,7.1
179,"Quinn, Robert",LAR,LB,4.5,2.,0.,0.9,0.,0.,0.,0.,6.3
180,"Mauti, Michael",FA,LB,5.5,0.,0.2,0.,0.,0.2,0.,0.,5.9
181,"Lawson, Carl",CIN,LB,3.7,3.6,0.,0.,0.,0.,0.,0.,5.6
182,"Wilber, Kyle",DAL,LB,3.5,3.2,0.,0.,0.,0.2,0.2,0.,5.4
183,"Armbrister, Thurston",FA,LB,5.4,0.,0.,0.,0.,0.,0.,0.,5.4
184,"Lamur, Emmanuel",MIN,LB,2.9,2.6,0.,0.7,0.,0.3,0.,0.,5.2
185,"Freeny, Jonathan",FA,LB,2.4,3.8,0.,0.,0.,0.8,0.,0.,5.1
186,"McNary, Josh",FA,LB,3.7,2.2,0.,0.,0.,0.,0.,0.,4.8
187,"Dawson, Paul",FA,LB,3.,3.1,0.,0.1,0.,0.,0.,0.,4.7
188,"Littleton, Cory",LAR,LB,3.1,0.8,0.,0.,0.,0.,0.,0.,3.5
189,"Reilly, Trevor",MIA,LB,1.2,2.3,0.,0.,0.,0.6,0.,0.,3.
190,"Robinson, Edmond",FA,LB,1.3,0.4,0.,0.9,0.,0.,0.,0.,2.4
191,"Alexander, D.J.",SEA,LB,1.1,0.2,0.,0.,0.,0.4,0.,0.,1.6
192,"Mingo, Barkevious",IND,LB,1.4,0.3,0.,0.,0.,0.,0.,0.,1.5
193,"Glanton, Adarius",TBB,LB,1.5,0.,0.,0.,0.,0.,0.,0.,1.5
194,"Hager, Bryce",LAR,LB,0.7,0.,0.,0.8,0.,0.,0.,0.,1.5
195,"Skinner, Deontae",NYG,LB,0.4,0.4,0.,0.,0.,0.,0.,0.,0.6
196,"Cole, Audie",FA,LB,0.,0.2,0.,0.,0.,0.,0.,0.,0.1
197,"Beckwith, Kendell",TBB,LB,0.,0.,0.,0.,0.,0.,0.,0.,0.
198,"Flowers, Marquis",NEP,LB,0.,0.,0.,0.,0.,0.,0.,0.,0.
