Rank,Player,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
195,"Williams, Kasen",CLE,WR,2.4,0.,0.,0.3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.2,0.,6.1,292.5,0.,0.,0.1
196,"Washington, Tony",JAC,WR,0.1,0.,0.1,0.5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1
197,"McRoberts, Paul",FA,WR,2.6,0.,0.1,0.3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,58.1,0.,0.,0.
198,"Scott, Rashawn",MIA,WR,1.5,0.4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.4,0.,65.8,176.3,0.,0.4,0.
199,"Hester, Devin",FA,WR,0.9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,163.4,645.9,0.,0.,0.
200,"Hammond, Frankie",NYJ,WR,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,82.5,0.,0.,0.,0.
201,"Bell, Kenny",BAL,WR,0.7,0.2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,74.2,235.9,0.,0.,0.
202,"Mayle, Vince",BAL,WR,1.,0.3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,85.8,284.8,0.,0.,0.
203,"Smith-Schuster, JuJu",PIT,WR,10.6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.3,53.5,0.,1.3,-0.1
204,"Samuel, Curtis",CAR,WR,7.5,3.9,0.3,2.8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-3.,0.,0.2,0.9,0.1,0.4,-0.1
205,"Brown, Noah",DAL,WR,15.2,0.9,1.3,9.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,8.4,0.,43.9,64.9,1.,0.9,-0.2
206,"Williams, Mike",LAC,WR,7.1,1.4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-2.8,0.,11.1,104.4,0.,1.4,-0.3
207,"Grant, Jakeem",MIA,WR,1.5,0.2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.1,0.,112.1,322.2,0.2,0.2,-0.3
208,"Davis, Trevor",GBP,WR,3.8,1.5,0.,0.6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,42.1,172.6,0.2,0.,-0.3
209,"Cole, Keelan",JAC,WR,5.1,2.,2.1,7.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,19.4,11.5,0.5,1.4,-0.4
210,"Switzer, Ryan",DAL,WR,1.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-5.5,0.,33.4,160.,0.,0.,-0.6
211,"Jones, Andy",HOU,WR,1.4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-6.9,0.,41.7,200.,0.,0.,-0.7
212,"McKenzie, Isaiah",DEN,WR,12.,1.2,1.1,1.4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,33.5,34.1,1.1,1.2,-2.
213,"Raymond, Kalif",NYJ,WR,9.1,1.2,1.9,8.3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,116.8,43.1,1.4,1.2,-2.
