Rank,Player,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
56,"Scruggs, Greg",NEP,TE,17.6,3.3,9.9,135.7,0.9,0.,0.9,0.,0.,0.,0.,0.5,0.3,0.1,0.,0.,0.,0.,0.,0.,3.9,18.8
57,"Heuerman, Jeff",DEN,TE,26.2,1.2,13.7,181.5,0.,0.,0.,0.,0.,0.,0.,0.7,0.4,0.1,0.,0.,0.,0.,0.,0.,0.7,18.2
58,"Williams, Maxx",BAL,TE,32.3,7.7,20.,154.1,0.3,0.2,0.,0.2,0.,0.,0.,0.6,0.3,0.1,0.,0.,0.,0.,2.7,0.,6.3,17.7
59,"Dickson, Ed",CAR,TE,19.6,4.4,10.1,113.9,1.,1.,0.,0.,0.,0.,0.,0.5,0.2,0.1,0.,0.,0.,0.,0.4,0.,4.6,17.6
60,"Harris, Demetrius",KCC,TE,23.8,4.9,11.8,91.3,1.1,0.6,0.5,0.,0.,0.,0.,0.4,0.2,0.1,0.,0.,0.,0.,37.3,0.,4.4,17.2
61,"Burton, Trey",PHI,TE,33.1,4.4,20.2,169.5,0.,0.,0.,0.,0.,0.,0.,0.7,0.3,0.1,0.,0.,0.,0.,0.,0.,2.6,17.
62,"Adams, Jerell",NYG,TE,22.1,0.7,16.7,115.,0.7,0.,0.7,0.,0.,0.,0.,0.5,0.2,0.1,0.,0.,0.,0.,0.,0.,0.7,15.7
63,"Wright, Tim",FA,TE,6.1,4.4,3.1,23.8,2.2,2.2,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.,0.,0.,0.,0.,4.4,15.6
64,"Everett, Gerald",LAR,TE,39.7,5.,16.4,136.,0.,0.,0.,0.,0.,0.,0.,0.5,0.3,0.1,0.,0.,0.,0.,0.,0.,4.2,13.8
65,"Anderson, Stephen",HOU,TE,17.6,3.9,9.7,85.,0.8,0.8,0.,0.,0.,0.,0.,0.3,0.2,0.1,0.,0.,0.,0.,0.,0.,2.1,13.2
66,"Cameron, Jordan",FA,TE,17.,3.1,10.7,81.,0.8,0.7,0.2,0.,0.,0.,0.,0.3,0.2,0.1,0.,0.,0.,0.,0.,0.,3.1,13.2
67,"Fasano, Anthony",MIA,TE,16.2,3.9,9.4,97.6,0.6,0.6,0.,0.,0.,0.,0.,0.4,0.2,0.1,0.,0.,0.,0.,6.4,0.,2.3,13.1
68,"Grimble, Xavier",PIT,TE,17.9,3.7,7.9,81.8,0.8,0.,0.,0.8,0.,0.,0.,0.3,0.2,0.1,0.,0.,0.,0.,0.,0.,2.6,13.
69,"Hoomanawanui, Michael",NOR,TE,11.1,7.9,3.8,34.5,1.5,1.3,0.2,0.,0.,0.,0.,0.1,0.1,0.,0.,0.,0.,0.,3.9,0.,7.9,12.7
70,"Uzomah, C.J.",CIN,TE,20.3,3.4,10.9,124.2,0.,0.,0.,0.,0.,0.,0.,0.5,0.2,0.1,0.,0.,0.,0.,0.,0.,2.2,12.4
71,"Derby, A.J.",DEN,TE,17.2,1.3,11.3,126.9,0.,0.,0.,0.,0.,0.,0.,0.5,0.3,0.1,0.,0.,0.,0.,0.,0.2,0.4,12.3
72,"Ellison, Rhett",NYG,TE,19.7,1.8,14.1,120.6,0.,0.,0.,0.,0.,0.,0.,0.5,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,12.1
73,"Leggett, Jordan",NYJ,TE,16.3,3.1,8.5,94.6,0.4,0.4,0.,0.,0.,0.,0.,0.4,0.2,0.1,0.,0.,0.,0.,9.,0.,2.3,11.8
74,"Fells, Darren",DET,TE,13.,2.5,8.4,88.8,0.4,0.,0.,0.,0.4,0.,0.,0.4,0.2,0.1,0.,0.,0.,0.,0.,0.,2.4,11.5
75,"Helfet, Cooper",OAK,TE,18.,0.9,10.9,115.4,0.,0.,0.,0.,0.,0.,0.,0.5,0.2,0.1,0.,0.,0.,0.,0.,0.,0.6,11.5
76,"Kroft, Tyler",CIN,TE,13.8,0.7,9.6,102.8,0.2,0.,0.,0.2,0.,0.,0.,0.4,0.2,0.1,0.,0.,0.,0.,0.,0.,0.7,11.3
77,"Swaim, Geoff",DAL,TE,15.3,2.8,9.3,109.6,0.,0.,0.,0.,0.,0.,0.,0.4,0.2,0.1,0.,0.,0.,0.,5.6,0.,3.,11.
78,"O'Leary, Nick",BUF,TE,12.3,1.5,6.7,91.9,0.,0.,0.,0.,0.,0.,0.,0.4,0.2,0.1,0.,0.,0.,0.,16.7,0.,0.2,10.8
79,"Sterling, Neal",FA,TE,24.4,4.4,14.7,105.8,0.,0.,0.,0.,0.,0.,0.,0.4,0.2,0.1,0.,0.,0.,0.,0.,0.,2.7,10.6
80,"Myers, Brandon",FA,TE,15.9,6.4,8.1,72.1,0.1,0.1,0.,0.,0.,0.,0.,0.3,0.1,0.,0.,0.,0.,0.,0.,0.,3.6,9.2
81,"Niklas, Troy",ARZ,TE,10.,1.8,6.1,72.3,0.2,0.,0.2,0.,0.,0.,0.,0.3,0.1,0.,0.,0.,0.,0.,0.,0.,1.3,8.6
82,"Morgan, David",MIN,TE,17.8,7.2,10.9,83.2,0.,0.,0.,0.,0.,0.,0.,0.3,0.2,0.1,0.,0.,0.,0.,14.9,0.,5.4,8.5
