fantasyPointsRank,playerName,Team,Pos,PlayerName,Team,Pos
329,Myles Jack,JAX,lb,Omenihu Charles,HOU,de
330,Jimmy Graham,CHI,te,Williams Quinnen,NYJ,de
331,D.J. Reader,CIN,dt,Irvin Bruce,SEA,de
332,Henry Anderson,NYJ,dt,Lawrence Dexter,NYG,de
333,Damien Harris,NE,rb,Nnadi Derrick,KCC,de
334,Jalen Thompson,ARZ,s,Vea Vita,TBB,de
335,Everson Griffen,DAL,de,Hurst Maurice,LVR,de
336,Emmanuel Ogbah,MIA,de,Kpassagnon Tanoh,KCC,de
337,James Burgess,NYJ,lb,Davison Tyeler,ATL,de
338,Emmanuel Sanders,NO,wr,Anderson Henry,NYJ,de
339,Quinnen Williams,NYJ,dt,Clowney Jadeveon,TEN,de
340,Za'Darius Smith,GB,lb,Gholston William,TBB,de
341,Olivier Vernon,CLV,de,Peters Corey,ARI,de
342,Christian Kirksey,GB,lb,Butler Adam,NEP,de
343,Anthony Miller,CHI,wr,McKinley Takkarist,ATL,de
344,Ben Roethlisberger,PIT,qb,Lawson Carl,CIN,de
345,Jerry Hughes,BUF,de,Onyemata David,NOS,de
346,Devin McCourty,NE,s,Stephen Shamar,MIN,de
347,Sterling Shepard,NYG,wr,Joseph Sebastian,LAR,de
348,Lamarcus Joyner,LV,s,Jones Justin,LAC,de
349,Nick Boyle,BLT,te,Hendrickson Trey,NOS,de
350,Eric Murray,HST,s,Kinlaw Javon,SFO,de
351,Quandre Diggs,SEA,s,Winovich Chase,NEP,de
352,Derrick Nnadi,KC,dt,Lancaster Tyler,GBP,de
353,Logan Wilson,CIN,lb,Odenigbo Ifeadi,MIN,de
354,Greg Olsen,SEA,te,Allen Zach,ARI,de
355,Gerald Everett,LA,te,Ford Poona,SEA,de
356,Drue Tranquill,LAC,lb,Bryan Taven,JAC,de
357,Steve McLendon,NYJ,dt,Rivers Derek,NEP,de
358,Anthony Barr,MIN,lb,Woods Antwaun,DAL,de
359,Khari Willis,IND,s,Rankins Sheldon,NOS,de
360,David Onyemata,NO,dt,Williams Brandon,BAL,de
361,Breshad Perriman,NYJ,wr,Jones Dre'Mont,DEN,de
362,Marcus Maye,NYJ,s,Wise Deatrich,NEP,de
363,Kiko Alonso,NO,lb,McLendon Steve,NYJ,de
364,Kenny Vaccaro,TEN,s,Alualu Tyson,PIT,de
365,Alexander Mattison,MIN,rb,Phillips Kyle,NYJ,de
366,Damiere Byrd,NE,wr,Tillery Jerry,LAC,de
367,Rayshawn Jenkins,LAC,s,Nichols Bilal,CHI,de
368,Eric Rowe,MIA,s,Robertson-Harris Roy,CHI,de
369,Darrell Henderson,LA,rb,Jones D.J.,SFO,de
370,Abry Jones,JAX,dt,Ximines Oshane,NYG,de
371,Curtis Samuel,CAR,wr,Green Rasheem,SEA,de
372,Kemoko Turay,IND,de,Wormley Chris,PIT,de
373,Robert Tonyan,GB,te,Fox Morgan,LAR,de
374,Henry Ruggs III,LV,wr,Dunn Brandon,HOU,de
375,Poona Ford,SEA,dt,Jones DaQuan,TEN,de
376,Dan Arnold,ARZ,te,Armstrong Dorance,DAL,de
377,Marcus Williams,NO,s,Brown Malcolm,NOS,de
378,Devin Asiasi,NE,te,Sweat Josh,PHI,de
379,Thomas Davis Sr.,WAS,lb,Muhammad Al-Quadin,IND,de
380,Philip Rivers,IND,qb,Stewart Grover,IND,de
381,Ito Smith,ATL,rb,Smoot Dawuane,JAC,de
382,Michael Brockers,LA,de,Thomas Solomon,SFO,de
383,Juan Thornhill,KC,s,Bailey Allen,ATL,de
384,Ricardo Allen,ATL,s,Banogu Ben,IND,de
385,O.J. Howard,TB,te,Hill B.J.,NYG,de
386,Dexter Lawrence,NYG,dt,Walker DeMarcus,DEN,de
387,Ross Blacklock,HST,dt,Weatherly Stephen,CAR,de
388,Tyeler Davison,ATL,dt,Covington Christian,CIN,de
389,A.J. Dillon,GB,rb,Curry Vinny,PHI,de
390,Parris Campbell,IND,wr,Saunders Khalen,KCC,de
391,Darren Fells,HST,te,Fatukasi Foley,NYJ,de
392,Leonard Williams,NYG,de,Johnson Jaleel,MIN,de
393,Hunter Renfrow,LV,wr,Square Damion,LAC,de
394,Willie Gay Jr.,KC,lb,Poe Dontari,DAL,de
395,Boston Scott,PHI,rb,Gross-Matos Yetur,CAR,de
396,Deebo Samuel,SF,wr,Watkins Carlos,HOU,de
397,Darrel Williams,KC,rb,Calhoun Shilique,NEP,de
398,Ian Thomas,CAR,te,Jenkins John,CHI,de
399,Solomon Thomas,SF,dt,Jefferson Quinton,BUF,de
400,Chris Thompson,JAX,rb,Phillips Harrison,BUF,de
401,Julian Okwara,DET,de,Collins Maliek,LVR,de
402,Kenny Young,LA,lb,Johnson Austin,NYG,de
403,Vance McDonald,PIT,te,Crawford Tyrone,DAL,de
404,Sam Darnold,NYJ,qb,Clayborn Adrian,CLE,de
405,Jerry Tillery,LAC,dt,Okwara Julian,DET,de
406,Trey Burton,IND,te,Watts Armon,MIN,de
407,Matthew Judon,BLT,lb,Hall P.J.,HOU,de
408,Mack Wilson,CLV,lb,Settle Tim,WAS,de
409,Trysten Hill,DAL,dt,Key Arden,LVR,de
410,Denico Autry,IND,dt,Kerr Zach,CAR,de
411,Teddy Bridgewater,CAR,qb,Means Steven,ATL,de
412,Logan Thomas,WAS,te,Jackson Malik,PHI,de
413,Yetur Gross-Matos,CAR,de,Blacklock Ross,HOU,de
414,Danny Amendola,DET,wr,Keke Kingsley,GBP,de
415,Dontari Poe,DAL,dt,Shepherd Nathan,NYJ,de
416,Marcus Davenport,NO,de,Hand Da'Shawn,DET,de
417,Mitchell Trubisky,CHI,qb,Hyder Kerry,SFO,de
418,Bobby McCain,MIA,s,Williams Nick,DET,de
419,Ryan Griffin,NYJ,te,Tuioti-Mariner Jacob,ATL,de
420,Vince Williams,PIT,lb,Gaines Greg,LAR,de
421,Jerry Jeudy,DEN,wr,Brown Andrew,CIN,de
422,Neville Gallimore,DAL,dt,Ellis Justin,BAL,de
423,Brian Hill,ATL,rb,Crawford Jack,TEN,de
424,Tanoh Kpassagnon,KC,de,Mack Isaiah,TEN,de
425,David Njoku,CLV,te,Granderson Carl,NOS,de
426,Will Dissly,SEA,te,Johnson Darryl,BUF,de
427,Brandon Aiyuk,SF,wr,Cominsky John,ATL,de
428,Vernon Butler,BUF,dt,McIntosh RJ,NYG,de
429,Cameron Brate,TB,te,Haynes Marquis,CAR,de
430,C.J. Uzomah,CIN,te,Rochell Isaac,LAC,de
