Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
143,"Van Ginkel, Andrew",MIA,LB,13.1,2.3,1.5,0.0,0.0,0.0,0.0,0.0,15.8
144,"Vallejo, Tanner",ARI,LB,11.6,4.2,1.0,0.0,0.0,0.7,0.0,0.0,15.4
145,"Smith, Cameron",MIN,LB,10.3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3
146,"Barton, Cody",SEA,LB,5.5,15.3,0.4,1.0,0.0,0.3,0.3,0.0,15.1
147,"Young, Kenny",LAR,LB,10.5,7.1,0.0,0.4,0.0,0.0,0.0,0.0,14.4
148,"Burks, Oren",GBP,LB,7.1,6.7,0.0,0.8,0.0,0.0,0.0,0.0,11.2
149,"King, Brandon",NEP,LB,6.5,4.9,0.1,1.0,0.0,0.0,0.0,0.0,10.1
150,"Wilber, Kyle",LVR,LB,4.7,4.6,0.0,1.5,0.0,0.0,0.0,0.0,8.5
151,"Nelson, Anthony",TBB,LB,3.7,4.5,0.0,1.2,0.0,1.2,0.0,0.0,8.3
152,"Ryan, Jake",FA,LB,5.1,2.5,1.1,0.0,0.0,0.0,0.0,0.0,7.4
153,"Quarterman, Shaquille",JAC,LB,4.7,2.7,0.1,0.1,0.0,0.1,0.1,0.0,6.5
154,"Wilson, Logan",CIN,LB,3.3,3.8,0.0,1.3,0.0,0.0,0.0,0.0,6.5
155,"Al-Shaair, Azeez",SFO,LB,4.2,2.8,0.0,0.0,0.0,0.0,0.0,0.0,5.6
156,"Speed, E.J.",IND,LB,3.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,4.3
157,"Bower, Tashawn",NEP,LB,2.6,1.9,0.0,0.6,0.0,0.0,0.0,0.0,4.2
158,"Riley, Duke",PHI,LB,3.4,1.5,0.0,0.0,0.0,0.0,0.0,0.0,4.2
159,"Avery, Genard",PHI,LB,2.5,1.6,0.4,0.3,0.0,0.0,0.0,0.0,4.0
160,"Franklin, Zaire",IND,LB,1.9,2.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0
161,"Muse, Tanner",LVR,LB,1.2,0.4,0.0,0.4,0.0,0.0,0.0,0.0,1.8
162,"Smith, Andre",BUF,LB,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
163,"Beckwith, Kendell",FA,LB,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
164,"Crawford, James",FA,LB,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3
165,"Singleton, Alex",PHI,LB,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
166,"Davis-Gaither, Akeem",CIN,LB,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,"Burr-Kirven, Ben",SEA,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,"Matakevich, Tyler",BUF,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

