Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Punt Ret Yds,Kick Ret Yds,Pts
97,"Blair, Marquise",SEA,DB,8.8,3.6,0.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,12.4
98,"Wingard, Andrew",JAC,DB,9.4,4.4,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,12.1
99,"Davis, Ashtyn",NYJ,DB,8.0,3.9,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,10.4
100,"Hooker, Amani",TEN,DB,7.9,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6
101,"Gipson, Tashaun",CHI,DB,5.8,2.5,0.0,1.3,0.5,0.0,0.0,0.2,0.0,0.0,9.3
102,"Greene, Raven",GBP,DB,4.1,1.9,1.8,2.3,0.0,0.0,0.0,0.0,0.0,0.0,9.2
103,"Fejedelem, Clayton",MIA,DB,6.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
104,"Randall, Damarious",SEA,DB,4.8,1.8,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,6.7
105,"Marlowe, Dean",BUF,DB,5.3,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,6.4
106,"Swearinger, D.J.",NOS,DB,5.0,1.9,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,6.4
107,"Levine, Anthony",BAL,DB,5.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
108,"Reaves, Jeremy",WAS,DB,2.1,3.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,4.2
109,"Watts, Armani",KCC,DB,1.9,1.8,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9
110,"Ladler, Kenny",WAS,DB,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
111,"Davis, Cody",NEP,DB,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
112,"Banjo, Chris",ARI,DB,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7
113,"Colbert, Adrian",NYG,DB,0.9,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.3
114,"Epps, Marcus",PHI,DB,0.8,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
115,"Killebrew, Miles",DET,DB,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
116,"Neasman, Sharrod",ATL,DB,0.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.7
117,"Hartage, Montre",NYG,DB,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
118,"Hassell, J.T.",CLE,DB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
119,"Scott, Nick",LAR,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
120,"Johnson, Jaquan",BUF,DB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
121,"Moore, A.J.",HOU,DB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
122,"Allen, Marcus",PIT,DB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
123,"Gray, J.T.",NOS,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,"Cruikshank, Dane",TEN,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,"Smith, Maurice",WAS,DB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,"Ford, Johnathan",PHI,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,"Dangerfield, Jordan",PIT,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

