Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
27,"Addison, Mario",BUF,SEA,DL,1.6,0.7,0.5,0.2,0.0,0.0,0.0,0.0,3.1
28,"Houston, Justin",IND,BAL,DL,1.6,0.4,0.6,0.0,0.0,0.0,0.0,0.0,3.1
29,"Ferrell, Clelin",LVR,@LAC,DL,2.1,0.6,0.1,0.2,0.0,0.0,0.0,0.0,2.9
30,"Hughes, Jerry",BUF,SEA,DL,1.4,0.7,0.4,0.1,0.1,0.1,0.1,0.0,2.9
31,"Murphy, Trent",BUF,SEA,DL,1.6,0.7,0.4,0.0,0.0,0.1,0.1,0.0,2.8
32,"Hyder, Kerry",SFO,GBP,DL,1.4,1.0,0.4,0.0,0.0,0.0,0.0,0.0,2.7
33,"Winovich, Chase",NEP,@NYJ,DL,1.4,1.2,0.3,0.0,0.0,0.0,0.0,0.0,2.6
34,"Clark, Frank",KCC,CAR,DL,1.3,0.4,0.4,0.1,0.0,0.1,0.1,0.0,2.6
35,"Davenport, Marcus",NOS,@TBB,DL,1.1,1.0,0.4,0.1,0.0,0.1,0.0,0.0,2.5
36,"Nassib, Carl",LVR,@LAC,DL,1.3,1.0,0.2,0.1,0.0,0.0,0.0,0.0,2.4
