Rank,Player,Team,Opp,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
46,"Beasley, Cole",BUF,KCC,WR,5.0,0.4,3.8,47.0,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,9.9
47,"Tate, Golden",NYG,WAS,WR,7.0,0.5,4.0,44.0,0.2,0.0,0.0,0.1,0.0,0.0,0.1,1.0,0.0,7.0,0.0,0.0,0.4,9.9
48,"Williams, Preston",MIA,NYJ,WR,4.9,0.8,2.9,44.0,0.3,0.2,0.0,0.0,0.1,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.7,9.8
49,"Harry, N'Keal",NEP,DEN,WR,5.9,1.1,3.8,41.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1,0.5,9.7
50,"Miller, Scott",TBB,GBP,WR,5.0,0.1,4.0,45.0,0.2,0.0,0.1,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,9.6
51,"Cobb, Randall",HOU,@TEN,WR,4.8,0.3,3.6,49.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.4,9.3
52,"Patrick, Tim",DEN,@NEP,WR,5.0,0.8,4.0,46.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,9.0
53,"Washington, James",PIT,CLE,WR,5.5,0.3,3.2,43.0,0.2,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.2,8.7
54,"Miller, Anthony",CHI,@CAR,WR,4.8,0.5,3.1,39.0,0.3,0.0,0.1,0.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.4,8.6
55,"Humphries, Adam",TEN,HOU,WR,4.6,0.4,3.5,37.0,0.2,0.1,0.1,0.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,0.0,0.3,8.6
56,"Conley, Chris",JAC,DET,WR,5.6,0.4,3.0,47.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,8.5
57,"Gage, Russell",ATL,@MIN,WR,5.2,0.9,3.6,35.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,8.0
58,"Brown, John",BUF,KCC,WR,4.1,0.3,2.7,36.0,0.3,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,1.0,0.0,0.3,8.0
59,"Reynolds, Josh",LAR,@SFO,WR,4.3,0.3,2.8,38.0,0.2,0.1,0.0,0.1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.4,7.8
60,"Perriman, Breshad",NYJ,@MIA,WR,4.9,0.3,3.0,40.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,7.8
61,"Byrd, Damiere",NEP,DEN,WR,4.3,0.2,3.3,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,7.6
62,"Valdes-Scantling, Marquez",GBP,@TBB,WR,4.6,0.3,3.0,36.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,7.5
63,"Fitzgerald, Larry",ARI,@DAL,WR,5.8,0.4,3.9,33.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,7.5
