Rank,Player,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
16,"Olsen, Greg",SEA,TE,89.0,14.6,58.6,609.0,2.2,1.3,0.9,0.0,0.0,0.0,0.0,2.4,1.2,0.4,0.2,2.0,0.0,0.0,0.0,0.0,8.6,133.0
17,"Uzomah, C.J.",CIN,TE,75.1,13.7,51.4,482.0,4.9,3.3,1.6,0.0,0.0,0.0,0.0,1.9,1.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,11.7,129.0
18,"Gesicki, Mike",MIA,TE,94.9,13.5,50.8,544.0,4.2,1.1,2.4,0.0,0.7,0.0,0.0,2.2,1.1,0.4,0.1,0.0,0.0,0.0,0.0,0.8,11.4,128.8
19,"Hockenson, T.J.",DET,TE,97.8,9.0,54.3,555.0,2.6,1.6,0.6,0.3,0.0,0.0,0.0,2.2,1.1,0.4,0.1,0.0,0.0,0.0,6.0,0.0,6.9,125.6
20,"Sternberger, Jace",GBP,TE,70.8,9.8,44.4,548.0,3.9,2.2,1.4,0.0,0.0,0.0,0.3,2.2,1.1,0.4,0.1,0.0,0.0,0.0,0.0,0.0,8.0,122.9
21,"Smith, Jonnu",TEN,TE,55.9,7.8,41.2,523.0,4.7,0.8,2.0,0.2,0.0,1.0,0.6,2.1,1.0,0.3,0.1,10.0,0.0,0.0,0.0,0.0,7.3,122.7
22,"Dissly, Will",SEA,TE,53.9,9.2,41.2,526.0,4.5,3.9,0.6,0.0,0.0,0.0,0.0,1.8,0.9,0.3,0.1,14.0,0.0,0.0,0.0,0.0,7.5,122.0
23,"Everett, Gerald",LAR,TE,77.5,12.5,46.4,528.0,2.7,1.7,0.5,0.0,0.0,0.5,0.0,2.1,1.1,0.4,0.1,8.0,0.0,0.0,0.0,0.0,8.6,117.0
24,"Goedert, Dallas",PHI,TE,68.1,8.7,46.2,486.0,3.8,2.6,0.4,0.5,0.4,0.0,0.0,1.9,1.0,0.3,0.1,0.0,0.0,0.0,8.0,1.0,5.9,115.8
25,"Rudolph, Kyle",MIN,TE,61.0,12.5,44.9,412.0,4.7,3.5,0.4,0.0,0.6,0.1,0.0,1.6,0.8,0.3,0.1,0.0,0.0,0.0,0.0,0.0,9.1,115.3
26,"Eifert, Tyler",JAC,TE,69.5,10.7,45.3,473.0,2.9,1.7,0.9,0.3,0.0,0.0,0.0,1.9,0.9,0.3,0.1,0.0,0.0,0.0,0.0,0.0,9.9,111.0
27,"Herndon, Chris",NYJ,TE,57.6,8.4,39.6,467.0,4.0,1.7,1.7,0.0,0.6,0.0,0.0,1.9,0.9,0.3,0.1,0.0,0.0,0.0,13.0,0.0,7.1,110.4
28,"Thomas, Ian",CAR,TE,69.8,6.4,47.4,470.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,1.9,0.9,0.3,0.1,0.0,0.0,0.0,0.0,0.0,4.0,109.7
29,"Witten, Jason",LVR,TE,60.3,9.2,45.4,379.0,3.9,2.5,1.4,0.0,0.0,0.0,0.0,1.5,0.8,0.3,0.1,0.0,0.0,0.0,0.0,0.5,6.9,105.5
30,"Fells, Darren",HOU,TE,51.7,10.2,34.8,336.0,5.9,3.6,2.3,0.0,0.0,0.0,0.0,1.3,0.7,0.2,0.1,0.0,0.0,0.0,0.0,0.0,9.1,104.0
31,"Hollister, Jacob",SEA,TE,71.9,13.7,47.0,410.0,2.6,1.4,1.2,0.0,0.0,0.0,0.0,1.6,0.8,0.3,0.1,0.0,0.0,0.0,0.0,0.0,8.6,103.6
32,"Howard, O.J.",TBB,TE,65.6,8.3,40.4,537.0,1.6,0.3,1.3,0.0,0.0,0.0,0.0,2.1,1.1,0.4,0.1,0.0,0.0,0.0,0.0,0.6,6.9,102.7
33,"Griffin, Ryan",NYJ,TE,47.4,7.1,34.8,340.0,3.4,2.1,0.9,0.4,0.0,0.0,0.0,1.4,0.7,0.2,0.1,0.0,0.0,0.0,0.0,0.0,7.1,89.8
34,"Knox, Dawson",BUF,TE,53.5,8.6,30.9,453.0,2.3,0.5,0.8,1.0,0.0,0.0,0.0,1.8,0.9,0.3,0.1,2.0,0.0,0.0,0.0,0.2,8.4,89.7
35,"Boyle, Nick",BAL,TE,49.6,5.3,36.9,405.0,1.9,1.9,0.0,0.0,0.0,0.0,0.0,1.6,0.8,0.3,0.1,0.0,0.0,0.0,0.0,0.0,5.0,88.8
