Rank,Player,Team,Opp,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
78,"Gallup, Michael",DAL,NOR,WR,5.3,0.6,2.7,31.5,0.1,0.,0.,0.1,0.,0.,0.,0.2,0.,0.,0.,0.,0.4,3.7
79,"Grant, Ryan",IND,@JAC,WR,4.5,0.4,2.5,30.4,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.5,0.,0.,0.2,3.7
80,"Hollins, Mack",PHI,WAS,WR,4.1,0.4,2.6,29.9,0.1,0.,0.,0.,0.,0.,0.1,0.2,0.,0.,0.9,0.,0.3,3.6
81,"Smith, Torrey",CAR,@TBB,WR,4.6,0.4,2.4,28.2,0.1,0.,0.,0.,0.,0.,0.,0.9,0.,2.3,3.6,0.,0.2,3.5
82,"Boyd, Tyler",CIN,DEN,WR,3.8,0.5,2.5,27.4,0.1,0.1,0.,0.,0.,0.,0.,1.2,0.,0.9,2.8,0.,0.2,3.4
83,"Bellamy, Josh",CHI,@NYG,WR,3.5,0.2,1.6,25.6,0.1,0.,0.1,0.,0.,0.1,0.,1.3,0.,0.,0.6,0.,0.3,3.4
84,"White, Kevin",CHI,@NYG,WR,5.3,0.7,2.,29.1,0.,0.,0.,0.,0.,0.,0.,0.7,0.,0.8,8.5,0.,0.5,3.2
85,"Roberts, Seth",OAK,KCC,WR,4.6,0.7,2.5,25.4,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.7,0.1,0.4,3.1
86,"Kerley, Jeremy",BUF,@MIA,WR,4.,0.3,2.3,27.6,0.1,0.,0.,0.,0.,0.,0.,0.,0.,2.8,3.1,0.,0.3,3.1
87,"Higgins, Rashard",CLE,@HOU,WR,3.5,0.4,2.,23.4,0.1,0.1,0.,0.,0.,0.,0.1,0.2,0.,0.,0.7,0.1,0.3,3.
88,"Brown, Jaron",SEA,SFO,WR,3.5,0.5,1.2,19.2,0.2,0.,0.,0.1,0.,0.,0.,0.1,0.,0.3,1.,0.,0.4,3.
89,"Moore, Chris",BAL,@ATL,WR,3.1,0.3,1.6,19.1,0.2,0.1,0.,0.,0.,0.,0.,0.7,0.,2.5,22.1,0.,0.3,3.
90,"Rogers, Chester",IND,@JAC,WR,3.9,0.3,2.,26.4,0.1,0.,0.,0.,0.,0.,0.1,0.3,0.,7.7,0.4,0.,0.1,3.
91,"Beasley, Cole",DAL,NOR,WR,3.9,0.4,2.,20.4,0.1,0.1,0.,0.,0.,0.,0.,0.3,0.,1.2,0.,0.,0.3,2.9
92,"Wilson, Albert",MIA,BUF,WR,3.5,0.5,1.9,22.8,0.1,0.,0.,0.,0.,0.,0.,0.3,0.,3.4,2.4,0.,0.2,2.8
93,"Miller, Anthony",CHI,@NYG,WR,4.1,0.4,2.,23.9,0.1,0.1,0.,0.,0.,0.,0.,0.6,0.,0.7,1.2,0.,0.2,2.8
94,"Latimer, Cody",NYG,CHI,WR,3.6,0.3,1.9,23.7,0.,0.,0.,0.,0.,0.,0.,-0.3,0.,1.6,7.2,0.,0.1,2.7
95,"Jones, T.J.",DET,LAR,WR,2.9,0.4,1.6,20.6,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,3.5,11.7,0.,0.2,2.5
96,"Ellington, Bruce",HOU,CLE,WR,4.2,0.6,1.9,19.,0.1,0.,0.,0.1,0.,0.,0.,0.9,0.,3.1,0.,0.,0.4,2.5
97,"Conley, Chris",KCC,@OAK,WR,3.4,0.5,2.,24.6,0.,0.,0.,0.,0.,0.,0.,0.3,0.,0.,3.,0.,0.1,2.5
98,"Taylor, Trent",SFO,@SEA,WR,3.,0.3,1.9,20.4,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,11.,0.4,0.1,0.2,2.5
99,"Taylor, Taywan",TEN,NYJ,WR,3.5,0.2,1.9,21.7,0.,0.,0.,0.,0.,0.,0.,1.7,0.,0.,0.,0.,0.1,2.4
100,"Washington, James",PIT,LAC,WR,2.8,0.5,1.3,14.9,0.1,0.1,0.,0.,0.,0.,0.,0.6,0.,1.8,0.4,0.,0.3,2.4
101,"Gabriel, Taylor",CHI,@NYG,WR,3.4,0.4,1.9,21.,0.,0.,0.,0.,0.,0.,0.,1.7,0.,0.,0.5,0.,0.2,2.4
102,"Jones, Zay",BUF,@MIA,WR,3.5,0.4,1.4,17.4,0.1,0.,0.1,0.,0.,0.,0.,0.1,0.,2.3,3.6,0.,0.3,2.3
103,"Patterson, Cordarrelle",NEP,MIN,WR,3.,0.3,1.6,15.3,0.,0.,0.,0.,0.,0.,0.,3.3,0.1,2.1,17.2,0.,0.3,2.2
104,"Marshall, Brandon",SEA,SFO,WR,3.8,0.5,1.9,16.6,0.,0.,0.,0.,0.,0.,0.,0.4,0.,5.,15.3,0.,0.4,2.
105,"Hardy, Justin",ATL,BAL,WR,1.6,0.4,1.,11.1,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.3,0.,0.3,1.9
106,"Sharpe, Tajae",TEN,NYJ,WR,2.9,0.1,1.2,14.8,0.1,0.,0.,0.,0.1,0.,0.,0.2,0.,0.3,0.4,0.,0.1,1.9
107,"Sutton, Courtland",DEN,@CIN,WR,3.2,0.4,1.6,17.7,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.7,1.9,0.,0.2,1.8
108,"Holmes, Andre",BUF,@MIA,WR,2.3,0.4,1.,9.5,0.1,0.1,0.,0.,0.,0.,0.,0.1,0.,0.,0.2,0.,0.3,1.7
109,"Martino, Freddie",TBB,CAR,WR,1.,0.,0.8,14.6,0.,0.,0.,0.,0.,0.,0.,0.3,0.,1.8,2.4,0.,0.,1.5
