"Rank","Player","Team","Opp","Position","Tgt","RZTgt","Rec","Rec Yds","Rec TDs","0-9 RecTDs","10-19 RecTDs","20-29 RecTDs","30-39 RecTDs","40-49 RecTDs","50+ RecTDs","Rush Yds","Rush TDs","Punt Ret Yds","Kick Ret Yds","Fum Lost","Scoring Opps","Pts"
145,"Wilson, Bobo","TBB","IND","WR",0.4,0.,0.2,3.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,9.,0.,0.,0.4
146,"Davis, Geremy","LAC","@JAC","WR",1.3,0.1,0.4,3.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,1.,0.,0.1,0.4
147,"Gage, Russell","ATL","CAR","WR",0.7,0.1,0.3,3.,0.,0.,0.,0.,0.,0.,0.,-0.1,0.,2.,11.,0.,0.1,0.3
148,"Wims, Javon","CHI","DAL","WR",0.9,0.1,0.4,3.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.3
149,"Brown, Noah","DAL","@CHI","WR",0.8,0.1,0.3,3.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.3
150,"Davis, Trevor","GBP","WAS","WR",0.6,0.1,0.3,2.,0.,0.,0.,0.,0.,0.,0.,1.,0.,3.,14.,0.,0.1,0.3
151,"Meredith, Cameron","NEP","KCC","WR",0.2,0.1,0.1,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.3
152,"Harris, Dwayne","OAK","TEN","WR",0.2,0.,0.2,2.,0.,0.,0.,0.,0.,0.,0.,1.,0.,16.,33.,0.,0.,0.3
153,"Thomas, Mike","LAR","SEA","WR",0.4,0.,0.2,2.,0.,0.,0.,0.,0.,0.,0.,0.,0.,7.,10.,0.,0.1,0.2
154,"Nelson, J.J.","OAK","TEN","WR",0.8,0.,0.2,2.,0.,0.,0.,0.,0.,0.,0.,0.,0.,2.,1.,0.,0.,0.2
155,"Smith, Devin","DAL","@CHI","WR",1.,0.1,0.2,2.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,4.,0.,0.1,0.2
156,"Harry, N'Keal","NEP","KCC","WR",0.4,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.,0.2,0.1
157,"Zaccheaus, Olamide","ATL","CAR","WR",0.4,0.,0.,0.1,0.,0.,0.,0.,0.,0.,0.,-0.2,0.,2.,25.,0.,0.,0.
158,"Willis, Damion","CIN","@CLE","WR",0.2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,8.,8.,0.,0.,0.
159,"Ursua, John","SEA","@LAR","WR",0.4,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
160,"Winfree, Juwann","DEN","@HOU","WR",0.2,0.,0.,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,8.,2.,0.,0.,0.
161,"Johnson, Diontae","PIT","@ARZ","WR",0.5,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,-0.3,0.,0.,0.,0.,0.1,0.
162,"McLaurin, Terry","WAS","@GBP","WR",0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-0.3,0.,0.,1.,0.,0.,0.
163,"Hollins, Mack","PHI","NYG","WR",0.5,0.,0.1,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,1.,0.,0.,0.
164,"Dieter, Gehrig","KCC","@NEP","WR",0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
165,"Natson, JoJo","LAR","SEA","WR",0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,17.,10.,0.,0.,-0.1
"","","","","","","","","","","","","","","","","","","","","","",""
