Player,Team,Rush Att,Rush Yds,Rush Tds,Rec,Rec Yds,Rec Tds,FL,FPts
Russell Shepard,CAR,0.4,-1.4,0,20.9,308.2,1.8,,41.9
Ryan Grant,WAS,0,0.6,0,4.6,50.3,0.2,,5.7
Sammie Coates,PIT,1,16.8,0.2,11.9,176.5,1.5,,29.4
Sammy Watkins,LAR,0.4,-0.2,0,69.9,1046.8,6.5,,143.5
Seantavius Jones,KC,0,0,0,5.8,72.8,0.5,0,9.9
Seth Roberts,OAK,0.1,0.5,0,28.8,380.6,2.1,,51
Shane Wynn,JAC,0.2,0.7,0,4.5,58.2,0.5,,8.6
Stefon Diggs,MIN,1.6,10.3,0,81.1,953.3,5.1,,126
Sterling Shepard,NYG,1.1,3.2,0,59.3,688.5,4.6,,95.8
Tajae Sharpe,TEN,0,0.6,0,5.2,63.6,0.4,,8.3
Tanner McEvoy,SEA,0,0,0,5.8,79.1,0.4,,10.3
Tavarres King,NYG,0,0,0,5.6,78.9,0.2,0,9.2
Tavon Austin,LAR,12,78.3,0.6,49.1,522.2,2.8,,79.3
Taylor Gabriel,ATL,1.8,20.4,0,30.2,418.6,3.4,,64.1
Taywan Taylor,TEN,0,0,0,12.1,145.4,0.8,,19.4
Ted Ginn,NO,3.6,15.9,0.1,50.2,711.8,4.3,,98.2
Terrance Williams,DAL,0,0,0,37.3,514.9,2.9,,68.5
Terrelle Pryor,WAS,1.3,7.1,0,65.6,1024.6,6.4,,141
TJ Jones,DET,0.1,0.4,0,19.9,285.3,1.7,,39.2
Tommylee Lewis,NO,0.2,0.8,0,6.6,65.5,0.2,,7.6
Torrey Smith,PHI,0.4,4.1,0,39.3,573.8,3.3,,76.6
Travis Benjamin,LAC,0.8,1.5,0,30.9,430.2,2.2,,56.5
Tre McBride,TEN,0,0,0,5.4,65.6,0.4,0,9.1
Trent Taylor,SF,0,0,0,,,,,6.4
Trevor Davis,GB,0,0,0,4.4,62,0.5,,9
T.Y. Hilton,IND,0,0,0,85.6,1318.,8.1,,181
Tyler Boyd,CIN,2.3,18.3,0,47.5,523.6,3,,71.4
Tyler Lockett,SEA,3.6,56,0.6,42.7,585.7,2.7,,86.85
Tyreek Hill,KC,24.2,111.3,1.1,74.8,822.3,5.15,,123.7
Tyrell Williams,LAC,0,0,0,34.8,591.1,3.5,,79.4
Victor Cruz,CHI,0,0,0,31,427.1,2,,54
Vince Mayle,BAL,0,0,0,4.9,61.6,0.3,0,7.8
Walter Powell,BUF,0,0,0,5.2,59.8,0.5,,9
Wendall Williams,HOU,0,0,0,3.1,42.3,0.1,0,4.7
Will Fuller,HOU,0.4,5,0,16.4,213.5,0.8,,26
Willie Snead,NO,0,0,0,72.3,951.9,5.3,,128.3
Zay Jones,BUF,0,0,0,60.9,785.7,4.5,,106
