"Rank","Player","Team","Position","Tack","Asst","Scks","PassDef","Int","FumFrc","Fum","DefTD","Pts"
133,"Robertson, Craig","NOS","LB",15.1,6.2,0.8,0.4,0.1,0.,0.,0.,19.6
134,"Gary, Rashan","GBP","LB",13.,9.1,0.6,1.2,0.,0.,0.,0.,19.4
135,"Burks, Oren","GBP","LB",14.7,5.8,0.3,1.4,0.,0.,0.,0.,19.3
136,"White, Kyzir","LAC","LB",13.,8.2,0.7,0.5,0.2,0.,0.,0.,18.7
137,"Fort, L.J.","PHI","LB",14.6,5.,0.5,0.,0.,0.,0.,0.,17.6
138,"Reeves-Maybin, Jalen","DET","LB",11.8,4.4,0.1,1.2,0.,1.,0.,0.,16.3
139,"Bentley, Ja'Whaun","NEP","LB",11.2,7.2,0.,0.6,0.2,0.,0.,0.,15.7
140,"Summers, Ty","GBP","LB",10.4,7.3,0.5,1.,0.,0.,0.,0.,15.6
141,"Wilson, Mack","CLE","LB",8.,6.3,1.5,2.2,0.,0.,0.,0.,14.8
142,"Bond, Devante","TBB","LB",12.1,4.6,0.,0.,0.,0.,0.,0.,14.4
143,"Cashman, Blake","NYJ","LB",8.1,4.1,0.8,0.,0.,0.,0.,0.,11.
144,"Thomas, Joe","DAL","LB",7.,3.1,0.,0.,0.,0.,0.,0.,8.6
145,"Kiser, Micah","LAR","LB",4.3,3.6,0.,1.4,0.,0.,0.,0.,7.5
146,"Stanford, Julian","BUF","LB",6.1,1.2,0.1,0.6,0.,0.1,0.,0.,7.5
147,"Al-Shaair, Azeez","SFO","LB",5.2,1.,0.,0.,0.,0.5,0.,0.,6.1
148,"Okereke, Bobby","IND","LB",3.1,1.8,0.,0.4,0.,0.,0.,0.,4.4
149,"Biegel, Vince","MIA","LB",3.2,0.9,0.,0.,0.,0.,0.,0.,3.6
150,"Carter, Jermaine","CAR","LB",2.5,1.,0.,0.,0.,0.,0.,0.,3.
151,"Thompson, Corey","BUF","LB",0.9,1.2,0.,0.,0.,0.2,0.,0.,1.8
152,"Ryan, Jake","JAC","LB",0.6,0.1,0.,0.,0.,0.,0.,0.,0.6
153,"Brothers, Kentrell","MIN","LB",0.3,0.,0.3,0.,0.,0.,0.,0.,0.5
154,"Van Ginkel, Andrew","MIA","LB",0.1,0.1,0.,0.,0.,0.,0.,0.,0.1
"","","","","","","","","","","","",""
