"Rank","Player","Team","Position","Rush","Rush Yds","Rush TDs","0-9 RushTDs","10-19 RushTDs","20-29 RushTDs","30-39 RushTDs","40-49 RushTDs","50+ RushTDs",">= 50yds",">= 100yds",">= 150yds",">= 200yds","Tgt","RZTgt","Rec","Rec Yds","Rec TDs",">= 50yds",">= 100yds","Punt Ret Yds","Kick Ret Yds","Fum Lost","Scoring Opps","Pts"
55,"Breida, Matt","SFO","RB",112.4,561.,1.7,0.5,0.,0.,0.5,0.,0.7,2.2,1.1,0.4,0.1,24.9,3.1,19.7,199.,0.9,0.8,0.4,0.,42.,0.6,9.2,90.2
56,"Henderson, Darrell","LAR","RB",140.8,845.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,2.4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,84.5
57,"Hines, Nyheim","IND","RB",84.5,333.,2.1,2.1,0.,0.,0.,0.,0.,1.3,0.7,0.2,0.1,68.9,9.1,49.7,356.,0.3,1.4,0.7,0.,8.,0.2,10.2,82.5
58,"Richard, Jalen","OAK","RB",58.8,290.,1.3,1.3,0.,0.,0.,0.,0.,1.2,0.6,0.2,0.1,62.,3.,51.6,479.,0.6,1.9,1.,29.,22.,3.3,6.2,81.7
59,"Thompson, Chris","WAS","RB",97.9,354.,0.,0.,0.,0.,0.,0.,0.,1.2,0.6,0.2,0.1,106.3,5.9,75.,426.,0.4,1.7,0.9,0.,16.,0.,6.4,80.2
60,"Sproles, Darren","PHI","RB",80.4,236.,1.9,0.,1.9,0.,0.,0.,0.,0.9,0.5,0.2,0.1,37.6,6.,23.4,251.,3.3,1.,0.5,139.,92.,0.,16.7,80.
61,"Gore, Frank","BUF","RB",138.9,599.,0.3,0.3,0.,0.,0.,0.,0.,2.4,1.2,0.4,0.1,20.9,2.,14.6,167.,0.,0.7,0.3,0.,15.,0.,5.3,78.4
62,"Montgomery, Ty","NYJ","RB",119.9,445.,1.7,1.7,0.,0.,0.,0.,0.,1.8,0.9,0.3,0.1,52.6,4.4,29.8,255.,0.,1.,0.5,0.,173.,1.5,5.6,77.3
63,"Yeldon, T.J.","BUF","RB",80.6,291.,0.7,0.7,0.,0.,0.,0.,0.,1.2,0.6,0.2,0.1,52.5,2.,35.9,312.,1.8,1.2,0.6,0.,28.,0.6,5.9,74.1
64,"Thompson, Darwin","KCC","RB",106.7,640.,0.,0.,0.,0.,0.,0.,0.,0.4,0.2,0.1,0.,9.4,0.9,7.6,63.,0.,0.3,0.1,0.,53.,0.,1.1,70.3
65,"Hyde, Carlos","HOU","RB",143.5,483.,2.5,2.5,0.,0.,0.,0.,0.,1.9,1.,0.3,0.1,22.4,3.4,12.5,69.,0.,0.3,0.1,10.,5.,0.8,10.8,68.5
66,"Hilliard, Dontrell","CLE","RB",70.,291.,0.1,0.1,0.,0.,0.,0.,0.,1.2,0.6,0.2,0.1,55.1,6.8,41.9,321.,1.1,1.3,0.6,6.,107.,0.,5.4,68.3
67,"Burkhead, Rex","NEP","RB",80.7,270.,2.3,2.3,0.,0.,0.,0.,0.,1.1,0.5,0.2,0.1,28.8,7.8,21.5,220.,0.9,0.9,0.4,0.,-0.2,0.8,3.6,66.7
68,"Armstead, Ryquell","JAC","RB",93.7,360.,2.3,2.3,0.,0.,0.,0.,0.,1.4,0.7,0.2,0.1,26.1,1.,17.7,132.,0.3,0.5,0.3,0.,0.,1.9,6.1,61.2
69,"Davis, Mike","CHI","RB",72.1,299.,1.6,0.6,1.,0.,0.,0.,0.,1.2,0.6,0.2,0.1,34.1,0.9,24.7,162.,0.6,0.6,0.3,0.,72.,0.,5.2,59.
70,"Booker, Devontae","DEN","RB",59.,262.,0.7,0.,0.7,0.,0.,0.,0.,1.,0.5,0.2,0.1,53.3,8.5,38.2,281.,0.,1.1,0.6,0.,322.,1.2,7.7,56.4
71,"Powell, Bilal","NYJ","RB",88.6,345.,1.1,1.,0.,0.,0.,0.,0.1,1.4,0.7,0.2,0.1,22.5,3.1,13.,111.,1.,0.4,0.2,0.,4.,1.1,6.8,56.1
72,"Harris, Damien","NEP","RB",108.9,406.,0.,0.,0.,0.,0.,0.,0.,1.6,0.8,0.3,0.1,25.3,3.5,18.1,126.,0.9,0.5,0.3,0.,50.,1.9,4.8,54.6
73,"Dixon, Kenneth","BAL","RB",76.,397.,1.8,1.8,0.,0.,0.,0.,0.,1.6,0.8,0.3,0.1,11.3,0.,10.,99.,0.,0.4,0.2,0.,88.,2.9,1.8,54.5
74,"Clement, Corey","PHI","RB",62.7,252.,1.,0.5,0.5,0.,0.,0.,0.,1.,0.5,0.2,0.1,29.7,2.7,23.,210.,0.2,0.8,0.4,23.,252.,0.7,7.,51.8
75,"Brown, Malcolm","LAR","RB",92.8,391.,0.1,0.,0.,0.,0.1,0.,0.,1.6,0.8,0.3,0.1,13.3,0.7,10.,80.,0.7,0.3,0.2,0.,0.,0.,6.2,51.7
76,"Gallman, Wayne","NYG","RB",83.,326.,1.1,1.1,0.,0.,0.,0.,0.,1.3,0.7,0.2,0.1,35.5,2.7,22.1,135.,0.,0.5,0.3,0.,0.,1.,8.2,50.5
77,"Bonnafon, Reggie","CAR","RB",72.5,231.,2.3,2.3,0.,0.,0.,0.,0.,0.9,0.5,0.2,0.1,15.6,0.4,10.1,98.,0.4,0.4,0.2,19.,76.,0.4,5.8,48.2
78,"Edmonds, Chase","ARZ","RB",77.4,234.,1.6,1.6,0.,0.,0.,0.,0.,0.9,0.5,0.2,0.1,25.2,0.2,18.9,112.,0.,0.4,0.2,0.,67.,0.2,4.,43.6
79,"Wilkins, Jordan","IND","RB",44.2,265.,0.9,0.,0.9,0.,0.,0.,0.,1.1,0.5,0.2,0.1,17.9,3.6,14.7,78.,0.,0.3,0.2,0.,40.,1.5,6.5,36.6
80,"Juszczyk, Kyle","SFO","RB",6.9,23.,0.,0.,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,42.1,8.7,31.,307.,0.7,1.2,0.6,0.,0.,1.3,4.6,34.7
81,"Morris, Alfred","DAL","RB",70.,253.,1.,1.,0.,0.,0.,0.,0.,1.,0.5,0.2,0.1,10.9,2.7,4.8,42.,0.,0.2,0.1,0.,0.,0.8,7.1,34.1
82,"Washington, DeAndre","OAK","RB",50.2,187.,0.5,0.5,0.,0.,0.,0.,0.,0.7,0.4,0.1,0.1,17.1,0.8,12.2,73.,0.3,0.3,0.1,21.,53.,1.1,4.9,28.9
83,"Cannon, Trenton","NYJ","RB",38.8,118.,1.1,1.1,0.,0.,0.,0.,0.,0.5,0.2,0.1,0.,21.4,1.1,13.7,98.,0.,0.4,0.2,0.,21.,0.,2.1,28.1
84,"Hill, Justice","BAL","RB",43.9,204.,0.4,0.4,0.,0.,0.,0.,0.,0.8,0.4,0.1,0.1,19.1,2.5,11.1,72.,0.,0.3,0.1,11.,134.,1.3,2.9,27.5
85,"Johnson, Ty","DET","RB",69.1,173.,0.,0.,0.,0.,0.,0.,0.,0.7,0.3,0.1,0.,17.,1.2,11.5,59.,0.,0.2,0.1,0.,92.,0.7,3.1,21.7
86,"Mostert, Raheem","SFO","RB",34.7,183.,0.1,0.,0.,0.,0.,0.,0.1,0.7,0.4,0.1,0.1,9.6,1.1,8.5,49.,0.,0.2,0.1,0.,47.,1.2,1.6,21.3
87,"Develin, James","NEP","RB",3.,4.,2.6,2.6,0.,0.,0.,0.,0.,0.,0.,0.,0.,12.8,1.1,8.5,43.,0.,0.2,0.1,0.,18.,0.,3.6,20.1
88,"Prosise, C.J.","SEA","RB",45.7,135.,0.,0.,0.,0.,0.,0.,0.,0.5,0.3,0.1,0.,15.1,0.7,9.1,63.,0.,0.3,0.1,0.,14.,0.,4.3,19.8
89,"Hill, Brian","ATL","RB",30.,180.,0.,0.,0.,0.,0.,0.,0.,0.7,0.4,0.1,0.,5.4,1.3,3.3,36.,0.,0.1,0.1,0.,13.,1.6,1.5,18.4
90,"Perkins, Paul","NYG","RB",49.,137.,0.,0.,0.,0.,0.,0.,0.,0.5,0.3,0.1,0.,18.4,2.7,10.2,52.,0.,0.2,0.1,0.,26.,0.3,3.7,18.2
91,"Washington, Dwayne","NOS","RB",25.9,140.,0.2,0.,0.,0.,0.,0.2,0.,0.6,0.3,0.1,0.,1.1,0.5,0.7,4.,0.2,0.,0.,0.,0.,0.,1.4,17.1
92,"Bolden, Brandon","NEP","RB",6.8,37.,0.5,0.2,0.,0.,0.,0.,0.2,0.1,0.1,0.,0.,3.,1.3,3.,18.,1.3,0.1,0.,0.,0.,1.1,3.1,14.
