"Rank","Player","Team","Position","Tgt","RZTgt","Rec","Rec Yds","Rec TDs","0-9 RecTDs","10-19 RecTDs","20-29 RecTDs","30-39 RecTDs","40-49 RecTDs","50+ RecTDs",">= 50yds",">= 100yds",">= 150yds",">= 200yds","Rush Yds","Rush TDs","Punt Ret Yds","Kick Ret Yds","Fum Lost","Scoring Opps","Pts"
143,"Wilson, Bobo","TBB","WR",6.6,0.4,3.9,60.,0.2,0.,0.2,0.,0.,0.,0.,0.2,0.1,0.,0.,6.,0.,0.,158.,0.,0.4,7.6
144,"Harmon, Kelvin","WAS","WR",28.4,4.5,9.3,68.,0.,0.,0.,0.,0.,0.,0.,0.3,0.1,0.1,0.,0.,0.,5.,6.,0.,2.7,6.8
145,"Davis, Geremy","LAC","WR",23.1,1.6,6.8,57.,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,8.,0.,18.,12.,0.,1.4,6.4
146,"Tate, Auden","CIN","WR",18.9,4.4,5.9,55.,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,-0.1,0.,7.,17.,0.,2.,5.5
147,"Gage, Russell","ATL","WR",11.4,2.,4.8,53.,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,-0.9,0.,26.,181.,0.,0.8,5.2
148,"Wims, Javon","CHI","WR",14.8,1.1,6.3,52.,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,5.2
149,"Davis, Trevor","GBP","WR",9.4,1.2,4.8,38.,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,12.,0.,50.,227.,0.,0.8,5.
150,"Brown, Noah","DAL","WR",14.1,1.8,5.7,49.,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,0.,0.,5.,0.,0.,1.8,4.9
151,"Harris, Dwayne","OAK","WR",3.5,0.,3.5,31.,0.,0.,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,10.,0.,268.,542.,0.,0.,4.1
152,"Smith, Devin","DAL","WR",17.4,1.8,3.9,36.,0.,0.,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,0.,0.,18.,66.,0.,0.9,3.6
153,"Nelson, J.J.","OAK","WR",13.8,0.,3.7,29.,0.,0.,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,7.,0.,38.,18.,0.,0.,3.5
154,"Thomas, Mike","LAR","WR",6.6,0.7,3.4,35.,0.,0.,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,2.,0.,97.,172.,0.3,1.3,3.3
155,"Harry, N'Keal","NEP","WR",6.,1.8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,11.,0.,0.,0.,0.,2.9,1.
156,"Dieter, Gehrig","KCC","WR",2.5,0.,0.3,6.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.6
157,"Ursua, John","SEA","WR",6.7,1.6,0.5,6.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,1.,0.,0.7,0.5
158,"Jennings, Gary","SEA","WR",2.4,0.5,0.4,5.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,1.,0.,0.3,0.5
159,"Hollins, Mack","PHI","WR",8.3,0.3,1.7,13.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.,0.,14.,14.,0.5,0.,0.4
160,"Willis, Damion","CIN","WR",6.4,0.1,0.6,5.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,7.,0.,106.,144.,0.6,0.2,0.1
161,"Boykin, Miles","BAL","WR",1.4,0.,0.1,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,114.,149.,0.,0.,0.1
