Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
61,"Tranquill, Drue",LAC,@CIN,LB,3.4,0.7,0.1,0.1,0.0,0.0,0.0,0.0,3.9
62,"Oluokun, Foyesade",ATL,SEA,LB,2.7,2.1,0.0,0.0,0.0,0.1,0.0,0.0,3.9
63,"Smith, Za'Darius",GBP,@MIN,LB,2.5,1.0,0.7,0.0,0.0,0.1,0.0,0.0,3.8
64,"Chubb, Bradley",DEN,TEN,LB,2.7,0.9,0.3,0.2,0.0,0.1,0.1,0.0,3.7
65,"Van Noy, Kyle",MIA,@NEP,LB,2.6,1.3,0.2,0.1,0.0,0.0,0.0,0.0,3.7
66,"Gay, Willie",KCC,HOU,LB,2.7,1.6,0.2,0.0,0.0,0.0,0.0,0.0,3.6
67,"Bentley, Ja'Whaun",NEP,MIA,LB,2.6,1.4,0.2,0.0,0.0,0.0,0.0,0.0,3.6
68,"Landry, Harold",TEN,@DEN,LB,2.3,1.3,0.4,0.1,0.0,0.1,0.1,0.0,3.6
69,"Vigil, Nick",LAC,@CIN,LB,2.4,1.7,0.0,0.2,0.0,0.0,0.0,0.0,3.6
70,"Smith, Preston",GBP,@MIN,LB,2.1,1.1,0.6,0.2,0.1,0.0,0.0,0.0,3.6
71,"Barrett, Shaq",TBB,@NOS,LB,2.2,0.6,0.8,0.1,0.0,0.2,0.0,0.0,3.6
72,"Edwards, T.J.",PHI,@WAS,LB,2.5,1.5,0.0,0.1,0.0,0.0,0.0,0.0,3.4
