Rank,Player,Team,Opp,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
73,"Wilson, Jeff",SFO,@NYJ,RB,2.7,11.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.4,5.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,2.6
74,"Clement, Corey",PHI,LAR,RB,3.6,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,1.0,4.0,0.0,0.0,0.0,2.0,21.0,0.1,0.1,2.6
75,"Lewis, Dion",NYG,@CHI,RB,2.7,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.2,0.8,6.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,2.6
76,"Henderson, Darrell",LAR,@PHI,RB,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,2.2
77,"Booker, Devontae",LVR,NOS,RB,1.1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.8,7.0,0.0,0.0,0.0,-0.0,3.0,0.0,0.0,2.2
78,"Ogunbowale, Dare",JAC,@TEN,RB,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.2,1.0,9.0,0.0,0.0,0.0,1.0,12.0,0.1,0.3,2.0
79,"Ballage, Kalen",LAC,KCC,RB,3.4,6.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.2,0.5,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,1.9
80,"Davis, Mike",CAR,@TBB,RB,1.2,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,1.7
81,"Homer, Travis",SEA,NEP,RB,1.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.6,3.0,0.0,0.0,0.0,0.0,13.0,0.0,0.1,1.3
82,"Abdullah, Ameer",MIN,@IND,RB,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.4,3.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,1.3
83,"Ham, C.J.",MIN,@IND,RB,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.5,7.0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,1.2
84,"Dallas, DeeJay",SEA,NEP,RB,1.9,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.1,1.1
85,"Johnson, Jakob",NEP,@SEA,RB,1.8,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0
86,"Montgomery, Ty",NOS,@LVR,RB,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.5,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.9
87,"Perine, Lamical",NYJ,SFO,RB,1.4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.2,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.7
88,"Ingold, Alec",LVR,NOS,RB,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7
89,"Janovich, Andy",CLE,CIN,RB,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.2,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.7
90,"Blasingame, Khari",TEN,JAC,RB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
