Rank,Player,Team,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
52,"Richard, Jalen",LVR,RB,49.3,214.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.9,0.4,0.1,0.1,54.8,3.4,45.8,424.0,0.0,1.7,0.8,19.0,148.0,1.1,3.5,110.0
53,"Freeman, Devonta",NYG,RB,115.1,420.0,2.5,0.6,1.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.1,3.7,24.9,193.0,1.9,0.6,0.0,0.0,0.0,1.2,0.0,109.8
54,"Edwards, Gus",BAL,RB,158.7,853.0,2.0,0.2,1.2,0.0,0.0,0.0,0.7,9.4,1.7,0.6,0.2,7.7,0.5,6.5,51.0,0.0,0.2,0.1,0.0,0.0,1.3,9.9,106.6
55,"Hyde, Carlos",SEA,RB,150.2,627.0,4.2,3.1,0.6,0.0,0.0,0.5,0.0,2.5,1.3,0.4,0.2,15.2,2.7,10.6,75.0,0.6,0.3,0.1,0.0,0.0,2.1,10.4,105.3
56,"Coleman, Tevin",SFO,RB,119.9,497.0,4.5,3.2,0.6,0.2,0.0,0.4,0.0,2.0,1.0,0.3,0.1,23.1,5.0,14.6,120.0,0.4,0.5,0.2,0.0,0.0,0.5,12.3,104.4
57,"Peterson, Adrian",DET,RB,149.0,629.0,2.9,2.1,0.7,0.0,0.0,0.0,0.0,2.5,1.3,0.4,0.2,24.6,1.1,16.3,106.0,0.0,0.4,0.2,0.0,15.0,1.4,6.8,104.2
58,"Henderson, Darrell",LAR,RB,122.3,580.0,3.4,3.4,0.0,0.0,0.0,0.0,0.0,1.8,0.9,0.3,0.1,16.0,0.4,9.9,96.0,0.4,0.4,0.2,0.0,0.0,0.0,8.6,100.5
59,"Hill, Brian",ATL,RB,102.0,494.0,3.1,1.8,0.2,1.0,0.0,0.0,0.0,2.0,1.0,0.3,0.1,26.4,3.7,18.6,119.0,0.1,0.5,0.2,2.0,8.0,0.9,11.6,97.4
60,"Brown, Malcolm",LAR,RB,105.4,500.0,5.9,5.9,0.0,0.0,0.0,0.0,0.0,1.5,0.8,0.3,0.1,15.8,0.0,3.7,30.0,0.0,0.1,0.1,0.0,38.0,0.0,11.8,92.0
61,"Freeman, Royce",DEN,RB,89.5,334.0,1.4,1.4,0.0,0.0,0.0,0.0,0.0,1.3,0.7,0.2,0.1,36.4,4.0,28.5,172.0,0.6,0.7,0.3,0.0,28.0,0.0,6.6,91.2
62,"Dillon, A.J.",GBP,RB,108.4,396.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,1.6,0.8,0.3,0.1,43.0,5.9,25.7,170.0,1.0,0.7,0.3,18.0,133.0,0.5,9.2,89.5
63,"Barber, Peyton",WAS,RB,117.5,352.0,3.1,2.5,0.7,0.0,0.0,0.0,0.0,1.4,0.7,0.2,0.1,23.9,2.2,15.5,124.0,0.8,0.5,0.2,0.0,0.0,0.0,13.2,86.8
64,"McCoy, LeSean",TBB,RB,87.4,340.0,2.1,2.1,0.0,0.0,0.0,0.0,0.0,1.4,0.7,0.2,0.1,33.0,4.1,24.1,165.0,0.0,0.7,0.3,0.0,102.0,1.1,8.9,85.3
65,"Thompson, Darwin",KCC,RB,78.7,321.0,2.7,2.7,0.0,0.0,0.0,0.0,0.0,1.3,0.6,0.2,0.1,27.7,3.3,21.5,135.0,0.6,0.5,0.3,0.0,0.0,1.0,7.1,84.6
66,"Thompson, Chris",JAC,RB,44.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.1,0.0,54.1,5.7,37.3,286.0,0.4,1.1,0.6,28.0,9.0,0.0,3.9,84.1
67,"Penny, Rashaad",SEA,RB,72.7,400.0,3.3,1.1,0.6,0.5,0.4,0.0,0.6,1.6,0.8,0.3,0.1,12.6,1.4,9.3,89.0,1.1,0.4,0.2,0.0,56.0,0.3,6.9,83.7
68,"Bernard, Giovani",CIN,RB,56.5,193.0,0.8,0.6,0.2,0.0,0.0,0.0,0.0,0.8,0.4,0.1,0.1,52.0,5.5,34.8,247.0,0.0,1.0,0.5,0.0,19.0,0.6,5.8,82.3
69,"Washington, DeAndre",MIA,RB,71.9,261.0,1.6,1.5,0.1,0.0,0.0,0.0,0.0,1.0,0.5,0.2,0.1,25.7,4.7,23.3,189.0,0.0,0.8,0.4,0.0,0.0,0.0,5.4,77.6
70,"Edmonds, Chase",ARI,RB,69.5,264.0,2.5,1.0,0.0,0.9,0.6,0.0,0.0,1.1,0.5,0.2,0.1,25.6,4.2,18.8,123.0,0.6,0.5,0.2,0.0,27.0,0.4,7.6,75.5
71,"Pollard, Tony",DAL,RB,73.5,367.0,1.3,0.0,0.6,0.0,0.0,0.7,0.0,1.5,0.7,0.2,0.1,20.5,5.7,14.2,99.0,0.9,0.4,0.2,0.0,220.0,0.5,3.4,72.9
72,"Boone, Mike",MIN,RB,58.3,324.0,2.7,2.7,0.0,0.0,0.0,0.0,0.0,1.3,0.6,0.2,0.1,17.8,1.1,11.9,137.0,0.0,0.5,0.3,0.0,95.0,0.8,7.5,72.4
73,"Evans, Darrynton",TEN,RB,94.8,316.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,1.3,0.6,0.2,0.1,30.8,2.6,22.1,156.0,0.0,0.6,0.3,0.0,0.0,0.9,6.7,69.7
74,"Juszczyk, Kyle",SFO,RB,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,28.3,5.0,23.6,200.0,3.6,0.8,0.4,0.0,0.0,0.0,8.0,66.8
75,"Lewis, Dion",NYG,RB,63.3,232.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.5,0.2,0.1,28.4,5.0,19.7,140.0,0.9,0.6,0.3,0.0,0.0,1.0,6.9,65.8
76,"Williams, Darrel",KCC,RB,51.8,181.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7,0.4,0.1,0.1,17.2,3.7,12.2,109.0,1.6,0.4,0.2,0.0,0.0,0.1,6.8,62.1
77,"Armstead, Ryquell",JAC,RB,53.2,176.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.7,0.4,0.1,0.0,26.8,2.6,16.6,159.0,1.5,0.6,0.3,0.0,0.0,0.2,6.4,60.9
78,"Johnson, Ty",NYJ,RB,58.9,323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.6,0.2,0.1,31.2,0.9,19.8,89.0,0.0,0.4,0.2,0.0,49.0,0.8,2.4,59.4
79,"Harris, Damien",NEP,RB,72.7,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.6,0.2,0.1,22.0,3.6,16.2,145.0,0.2,0.6,0.3,0.0,14.0,0.6,5.8,58.7
80,"Gore, Frank",NYJ,RB,94.9,335.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.3,0.7,0.2,0.1,15.5,0.8,11.8,84.0,0.0,0.3,0.2,0.0,114.0,0.0,6.4,57.0
81,"Snell Jr., Benny",PIT,RB,107.4,391.0,1.4,1.4,0.0,0.0,0.0,0.0,0.0,1.6,0.8,0.3,0.1,10.2,0.5,7.1,52.0,0.0,0.2,0.1,0.0,38.0,1.5,6.4,56.7
82,"Wilson, Jeff",SFO,RB,55.1,216.0,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.9,0.4,0.1,0.1,12.9,2.7,8.9,99.0,0.8,0.4,0.2,0.0,0.0,1.6,8.8,54.6
83,"Smith, Ito",ATL,RB,50.6,217.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.9,0.4,0.1,0.1,19.4,2.7,14.7,75.0,0.0,0.3,0.2,76.0,107.0,0.0,6.7,52.9
