Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Punt Ret Yds,Kick Ret Yds,Pts
86,"Nelson, Steven",KCC,BAL,DB,3.3,0.8,0.,0.6,0.1,0.1,0.1,0.,0.,0.,4.5
87,"Fuller, Kyle",CHI,LAR,DB,3.1,0.5,0.,1.1,0.,0.,0.,0.,0.,0.,4.5
88,"White, Tre'Davious",BUF,NYJ,DB,2.8,0.9,0.,0.8,0.2,0.,0.,0.,0.,0.,4.4
89,"Waynes, Trae",MIN,@SEA,DB,2.9,0.5,0.1,0.9,0.1,0.,0.,0.,0.,0.,4.4
90,"Kirkpatrick, Dre",CIN,@LAC,DB,2.9,1.,0.,0.7,0.1,0.1,0.,0.,0.,0.,4.4
91,"Poole, Brian",ATL,@GBP,DB,3.6,0.9,0.,0.2,0.,0.,0.,0.,0.,0.,4.4
92,"Trufant, Desmond",ATL,@GBP,DB,3.,0.4,0.,0.9,0.1,0.,0.,0.,0.,0.,4.4
93,"Moore, Kenny",IND,@HOU,DB,3.,0.8,0.,0.6,0.2,0.1,0.,0.,0.,0.,4.3
94,"Swearinger, D.J.",WAS,NYG,DB,3.1,0.8,0.,0.4,0.2,0.1,0.,0.,0.,0.,4.3
95,"Hooker, Malik",IND,@HOU,DB,3.,0.8,0.,0.6,0.2,0.,0.,0.,0.,0.,4.3
96,"Carrie, Travis",CLE,CAR,DB,3.5,0.7,0.,0.4,0.,0.,0.,0.,2.1,0.4,4.3
97,"Dunbar, Quinton",WAS,NYG,DB,2.6,0.9,0.1,0.9,0.1,0.,0.,0.,0.,3.5,4.3
98,"Hargreaves, Vernon",TBB,NOR,DB,3.1,0.5,0.,0.6,0.1,0.1,0.,0.,1.,0.,4.2
99,"King, Desmond",LAC,CIN,DB,3.4,0.5,0.2,0.3,0.1,0.,0.,0.,0.1,16.1,4.2
100,"Lewis, Jourdan",DAL,PHI,DB,3.3,0.5,0.,0.5,0.1,0.,0.,0.,0.,0.,4.2
101,"Jones, Josh",GBP,ATL,DB,3.3,0.7,0.,0.4,0.1,0.,0.,0.,0.,0.,4.1
102,"Taylor, Jamar",ARZ,DET,DB,3.1,0.7,0.,0.5,0.,0.1,0.,0.,0.4,0.,4.
103,"Joyner, Lamarcus",LAR,@CHI,DB,2.8,0.9,0.,0.5,0.1,0.1,0.,0.,0.,0.,4.
104,"Maye, Marcus",NYJ,@BUF,DB,3.1,1.1,0.,0.1,0.1,0.1,0.,0.,0.,0.,4.
