Rank,Player,Team,Opp,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
44,"Coleman, Tevin",ATL,CAR,RB,7.5,34.4,0.3,0.2,0.,0.,0.,0.,0.1,0.7,5.,0.2,0.1,0.,0.,0.,0.1,1.8,6.9
45,"Riddick, Theo",DET,GBP,RB,7.4,26.4,0.1,0.,0.,0.,0.,0.,0.,3.9,26.6,0.2,0.1,0.1,0.,3.9,0.,1.,6.7
46,"White, James",NEP,NYJ,RB,3.3,12.6,0.1,0.1,0.,0.,0.,0.,0.,3.1,31.4,0.3,0.1,0.1,0.,3.8,0.,0.8,6.7
47,"Sproles, Darren",PHI,DAL,RB,5.7,24.4,0.2,0.1,0.,0.1,0.,0.,0.,3.1,23.8,0.1,0.1,0.,14.5,2.,0.,1.5,6.5
48,"Booker, Devontae",DEN,KCC,RB,9.7,34.9,0.2,0.2,0.,0.,0.,0.,0.,1.8,13.2,0.,0.1,0.,0.,1.,0.1,1.,5.9
49,"Burkhead, Rex",NEP,NYJ,RB,5.2,44.,0.1,0.1,0.,0.,0.,0.,0.,1.5,12.2,0.,0.,0.,0.,9.,0.1,0.7,5.9
50,"Thompson, Chris",WAS,@NYG,RB,4.1,20.1,0.2,0.1,0.,0.1,0.,0.,0.,2.8,19.6,0.1,0.1,0.,0.,17.8,0.1,0.6,5.7
51,"Lewis, Dion",NEP,NYJ,RB,7.4,29.3,0.1,0.1,0.,0.,0.,0.,0.,2.5,17.5,0.1,0.1,0.,0.,11.1,0.1,0.8,5.7
52,"Williams, Jamaal",GBP,@DET,RB,8.,34.3,0.1,0.1,0.,0.,0.,0.,0.,1.6,13.4,0.,0.1,0.,0.,0.,0.,2.1,5.5
53,"Ivory, Chris",JAC,@TEN,RB,8.5,34.3,0.1,0.1,0.,0.,0.,0.,0.,1.4,12.,0.,0.,0.,0.,1.2,0.2,0.6,5.2
54,"Allen, Javorius",BAL,CIN,RB,6.7,23.9,0.1,0.1,0.,0.,0.,0.,0.,2.9,18.5,0.1,0.1,0.,0.,2.8,0.,1.6,5.1
55,"Williams, Damien",MIA,BUF,RB,3.2,12.5,0.2,0.1,0.1,0.,0.,0.,0.,1.6,15.8,0.2,0.1,0.,0.,4.9,0.1,1.,5.
56,"Vereen, Shane",NYG,WAS,RB,6.1,26.5,0.,0.,0.,0.,0.,0.,0.,2.,14.6,0.1,0.1,0.,0.,9.1,0.1,1.6,4.8
