Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Punt Ret Yds,Kick Ret Yds,Pts
179,"Moore, Corey",FA,DB,28.2,7.9,0.,3.2,0.8,0.,0.,0.,0.,0.,36.8
180,"Talib, Aqib",LAR,DB,24.2,7.9,0.,7.3,0.5,0.,0.,0.2,0.,0.,36.5
181,"Claiborne, Morris",NYJ,DB,26.4,6.2,0.,6.,0.4,0.,0.,0.,0.,0.,36.3
182,"Hughes, Mike",MIN,DB,22.8,11.5,0.,6.5,0.,0.,0.,0.,4.,0.,35.
183,"Cooper, Marcus",CHI,DB,27.5,1.8,0.,4.4,0.7,0.,0.,0.,0.,0.,34.3
184,"Levine, Anthony",BAL,DB,21.8,3.8,4.2,4.7,0.6,0.4,0.1,0.,1.7,0.,34.2
185,"Searcy, Da'Norris",CAR,DB,22.7,8.4,0.7,4.5,1.,0.,0.,0.,0.,0.,34.1
186,"Thomas, Dymonte",DEN,DB,23.9,10.1,0.,3.8,0.,0.,0.,0.,0.4,0.,32.7
187,"Pleasant, Eddie",NEP,DB,25.6,5.6,1.,1.9,0.4,0.5,0.,0.,0.,0.,32.7
188,"Burris, Juston",NYJ,DB,23.8,1.7,0.2,3.6,1.1,0.8,0.8,0.,0.,0.,32.4
189,"Thompson, Tedric",SEA,DB,23.9,12.7,0.6,1.3,0.,0.,0.,0.,0.,0.,32.2
190,"Gaines, Phillip",BUF,DB,20.1,8.4,0.,4.5,1.7,0.,0.,0.,0.,0.,32.1
191,"Tandy, Keith",FA,DB,22.,7.7,0.,3.4,1.2,0.3,0.,0.,4.2,0.,31.9
192,"Williams, Brandon",ARZ,DB,23.1,5.6,0.3,4.8,0.4,0.,0.,0.,8.5,0.,31.8
193,"Hall, Leon",OAK,DB,25.3,5.,0.7,1.9,0.,0.7,0.,0.,0.,0.,31.
194,"Alexander, Maurice",FA,DB,20.7,13.3,0.5,0.7,0.4,0.,0.,0.,0.,0.,29.3
195,"Jones, Don",FA,DB,20.9,4.4,0.,3.3,0.,1.1,0.,0.,0.,0.,27.5
196,"Bethel, Justin",ATL,DB,19.9,9.9,0.,1.9,0.,0.,0.,0.,0.,0.,26.7
197,"Harrison, Ronnie",JAC,DB,20.7,5.7,0.4,2.6,0.,0.,0.,0.,0.,0.,26.6
198,"Smith, Maurice",MIA,DB,14.2,7.7,0.,2.3,0.,0.6,0.,0.,0.,0.,20.9
199,"Benwikere, Bene",ARZ,DB,8.5,2.9,0.,3.4,0.3,0.,0.,0.,5.2,0.,14.
200,"Hal, Dre",HOU,DB,2.,0.9,0.,0.2,0.1,0.1,0.,0.,0.,0.,2.8
