Rank,Player,Team,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
89,"Perkins, Paul",NYG,RB,59.5,197.7,0.,0.,0.,0.,0.,0.,0.,0.8,0.4,0.1,0.,12.8,74.1,0.,0.3,0.1,0.,37.9,0.3,2.1,26.6
90,"Smallwood, Wendell",PHI,RB,51.6,177.3,0.1,0.1,0.,0.,0.,0.,0.,0.7,0.4,0.1,0.,9.8,76.1,0.,0.3,0.2,62.6,229.2,0.,2.3,26.2
91,"Sims, Charles",FA,RB,14.3,60.3,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,26.8,199.3,0.2,0.8,0.4,0.,11.7,1.1,1.,24.8
92,"Williams, Damien",KCC,RB,28.2,132.6,0.,0.,0.,0.,0.,0.,0.,0.5,0.3,0.1,0.,9.6,77.9,0.,0.3,0.2,0.,14.2,0.,1.1,21.
93,"Washington, Dwayne",FA,RB,51.1,129.8,0.,0.,0.,0.,0.,0.,0.,0.5,0.3,0.1,0.,7.5,50.3,0.,0.2,0.1,0.,32.8,0.,7.6,18.
94,"Lindsay, Phillip",DEN,RB,40.,123.6,0.,0.,0.,0.,0.,0.,0.,0.5,0.2,0.1,0.,9.,67.2,0.,0.3,0.1,0.,0.,0.5,3.7,18.
95,"Logan, T.J.",ARZ,RB,25.6,82.8,0.,0.,0.,0.,0.,0.,0.,0.3,0.2,0.1,0.,11.,91.3,0.,0.4,0.2,65.4,206.6,0.,1.2,17.4
96,"Hill, Jeremy",NEP,RB,34.9,115.6,0.,0.,0.,0.,0.,0.,0.,0.5,0.2,0.1,0.,4.,21.1,0.1,0.1,0.,0.,21.8,0.,0.6,14.1
97,"Mostert, Raheem",SFO,RB,20.2,65.8,0.,0.,0.,0.,0.,0.,0.,0.3,0.1,0.,0.,8.,65.4,0.,0.3,0.1,18.3,125.6,0.,1.3,13.1
98,"Rawls, Thomas",FA,RB,36.,81.9,0.,0.,0.,0.,0.,0.,0.,0.3,0.2,0.1,0.,6.6,60.1,0.,0.2,0.1,0.,0.,0.6,4.5,12.9
99,"Michael, Christine",IND,RB,24.1,61.9,0.7,0.7,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,1.9,15.,0.,0.1,0.,0.,125.3,0.,0.7,12.1
100,"Cannon, Trenton",NYJ,RB,52.7,131.5,0.,0.,0.,0.,0.,0.,0.,0.5,0.3,0.1,0.,1.1,8.8,0.,0.,0.,8.5,121.3,1.,5.1,12.
101,"Artis-Payne, Cameron",CAR,RB,30.5,97.6,0.2,0.,0.2,0.,0.,0.,0.,0.4,0.2,0.1,0.,3.,18.1,0.,0.1,0.,0.,101.,0.4,4.5,11.7
102,"Ridley, Stevan",PIT,RB,27.2,86.4,0.2,0.2,0.,0.,0.,0.,0.,0.3,0.2,0.1,0.,0.8,2.1,0.,0.,0.,0.,95.4,0.,0.5,10.3
103,"Ervin, Tyler",HOU,RB,16.5,43.7,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,10.,57.3,0.,0.2,0.1,145.,161.6,0.,2.5,10.1
104,"Hines, Nyheim",IND,RB,13.,47.2,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,7.7,48.9,0.,0.2,0.1,0.,190.6,0.,1.5,9.6
105,"Wilds, Brandon",FA,RB,23.,58.5,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,1.7,15.2,0.,0.1,0.,0.,165.4,0.,3.,7.4
106,"Walton, Mark",CIN,RB,14.6,51.8,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,3.3,21.7,0.,0.1,0.,0.,39.3,0.,0.,7.4
107,"Marshall, Byron",WAS,RB,17.1,55.8,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,3.8,15.4,0.,0.1,0.,0.,65.9,0.,0.8,7.1
108,"Boone, Mike",MIN,RB,14.,29.1,0.,0.,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,6.3,45.4,0.,0.2,0.1,0.,0.,0.4,1.8,6.6
109,"Olawale, Jamize",DAL,RB,4.3,25.7,0.,0.,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,4.7,36.3,0.,0.1,0.1,0.,0.,0.,0.,6.2
110,"Barner, Kenjon",FA,RB,8.5,32.1,0.,0.,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,2.6,23.6,0.,0.1,0.,163.6,140.,0.1,0.6,5.5
111,"Henderson, De'Angelo",FA,RB,6.5,7.5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,5.,32.2,0.2,0.1,0.1,0.,20.9,0.,0.2,5.3
112,"Ballage, Kalen",MIA,RB,10.8,26.7,0.,0.,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,4.1,22.1,0.,0.1,0.,0.,189.1,0.,1.7,4.9
113,"Newsome, Detrez",LAC,RB,14.6,30.3,0.,0.,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,2.5,18.2,0.,0.1,0.,14.9,50.1,0.,1.3,4.8
114,"Murphy, Marcus",BUF,RB,7.6,13.7,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,6.3,34.5,0.,0.1,0.1,0.,23.1,0.,2.3,4.8
115,"Smith, Ito",ATL,RB,7.1,19.7,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,2.6,26.3,0.,0.1,0.1,0.,0.,0.,2.4,4.6
116,"Bolden, Brandon",FA,RB,7.4,32.9,0.1,0.1,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,0.6,4.3,0.,0.,0.,0.,0.,0.,0.9,4.5
117,"Langford, Jeremy",FA,RB,6.4,16.8,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,1.9,26.6,0.,0.1,0.1,0.,0.,0.6,1.3,3.1
118,"Hill, Brian",FA,RB,3.6,14.8,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,1.6,11.4,0.,0.,0.,0.,0.,0.,0.,2.6
119,"Jones, Taiwan",BUF,RB,1.5,1.4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,2.1,24.4,0.,0.1,0.,0.,65.6,0.,0.4,2.6
120,"Martin, Robert",NYG,RB,5.2,22.7,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.,0.1,0.,0.,0.,0.,21.5,0.,0.,2.3
121,"Brown, Mack",FA,RB,4.3,20.1,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.,0.1,0.,0.,0.,0.,18.9,0.,0.1,2.2
122,"Dayes, Matthew",FA,RB,2.3,5.7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.2,14.4,0.,0.1,0.,0.,440.9,0.,0.,2.
123,"Kelly, John",LAR,RB,8.7,19.1,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.,0.3,0.,0.,0.,0.,2.5,0.,0.,1.9
124,"Mays, Devante",FA,RB,7.5,10.6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,3.2,11.4,0.,0.,0.,0.,0.7,0.7,0.1,0.8
125,"Pope, Troymaine",HOU,RB,2.2,8.3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,31.8,32.3,0.,0.2,0.8
126,"Thomas, Roc",MIN,RB,6.5,8.8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,25.6,0.1,0.,0.8
127,"Coleman, Derrick",ARZ,RB,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.6,6.8,0.,0.,0.,0.,0.,0.,1.1,0.7
128,"Jackson, Justin",FA,RB,3.4,3.6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,22.6,0.,0.,0.4
129,"Mizzell, Taquan",FA,RB,2.6,3.2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.,34.,0.,1.9,0.3
